Depth dose profile, Eye tissue equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[267, 296]	[250, 298]
Window's range [mm]:	[30.51, 33.83]	[28.57, 34.06]
Peak position:	32.57 mm	32.57 mm
Peak-plateau ratio:	2.69  	2.55  
Clinical range (R90):	32.36 mm	32.36 mm
Peak width (@50%):	6.07 mm	6.94 mm
Entrance dose:	27.59 %	28.99 %
Modulation:	0.59 mm	0.59 mm

Eye tissue equivalent length	Automatic Fit	Selected window Fit
41.26	0.00	0.00
41.37	0.00	0.00
41.49	0.00	0.00
41.60	0.00	0.00
41.71	0.00	0.00
41.83	0.00	0.00
41.94	0.00	0.00
42.06	0.00	0.00
42.17	0.00	0.00
42.29	0.00	0.00
42.40	0.00	0.00
42.51	0.00	0.00
42.63	0.00	0.00
42.74	0.00	0.00
42.86	0.00	0.00
42.97	0.00	0.00
43.09	0.00	0.00
43.20	0.00	0.00
43.31	0.00	0.00
43.43	0.00	0.00
43.54	0.00	0.00
43.66	0.00	0.00
43.77	0.00	0.00
43.89	0.00	0.00
44.00	0.00	0.00
44.11	0.00	0.00
44.23	0.00	0.00
44.34	0.00	0.00
44.46	0.00	0.00
44.57	0.00	0.00
44.69	0.00	0.00
44.80	0.00	0.00
44.91	0.00	0.00
45.03	0.00	0.00
45.14	0.00	0.00
45.26	0.00	0.00
45.37	0.00	0.00
45.49	0.00	0.00
45.60	0.00	0.00
45.71	0.00	0.00
45.83	0.00	0.00
45.94	0.00	0.00
46.06	0.00	0.00
46.17	0.00	0.00
46.29	0.00	0.00
46.40	0.00	0.00
46.51	0.00	0.00
46.63	0.00	0.00
46.74	0.00	0.00
46.86	0.00	0.00
46.97	0.00	0.00
47.09	0.00	0.00
47.20	0.00	0.00
47.31	0.00	0.00
47.43	0.00	0.00
47.54	0.00	0.00
47.66	0.00	0.00
47.77	0.00	0.00
47.89	0.00	0.00
48.00	0.00	0.00
48.11	0.00	0.00
48.23	0.00	0.00
48.34	0.00	0.00
48.46	0.00	0.00
48.57	0.00	0.00
48.69	0.00	0.00
48.80	0.00	0.00
48.91	0.00	0.00
49.03	0.00	0.00
49.14	0.00	0.00
49.26	0.00	0.00
49.37	0.00	0.00
49.49	0.00	0.00
49.60	0.00	0.00
49.71	0.00	0.00
49.83	0.00	0.00
49.94	0.00	0.00
50.06	0.00	0.00
50.17	0.00	0.00
50.29	0.00	0.00
50.40	0.00	0.00
50.51	0.00	0.00
50.63	0.00	0.00
50.74	0.00	0.00
50.86	0.00	0.00
50.97	0.00	0.00
51.09	0.00	0.00
51.20	0.00	0.00
51.31	0.00	0.00
51.43	0.00	0.00
51.54	0.00	0.00
51.66	0.00	0.00
51.77	0.00	0.00
51.89	0.00	0.00
52.00	0.00	0.00
52.11	0.00	0.00
52.23	0.00	0.00
52.34	0.00	0.00
52.46	0.00	0.00
52.57	0.00	0.00
52.69	0.00	0.00
52.80	0.00	0.00
52.91	0.00	0.00
53.03	0.00	0.00
53.14	0.00	0.00
53.26	0.00	0.00
53.37	0.00	0.00
53.49	0.00	0.00
53.60	0.00	0.00
53.71	0.00	0.00
53.83	0.00	0.00
53.94	0.00	0.00
54.06	0.00	0.00
54.17	0.00	0.00
54.29	0.00	0.00
54.40	0.00	0.00
54.51	0.00	0.00
54.63	0.00	0.00
54.74	0.00	0.00
54.86	0.00	0.00
54.97	0.00	0.00
55.09	0.00	0.00
55.20	0.00	0.00
55.31	0.00	0.00
55.43	0.00	0.00
55.54	0.00	0.00
55.66	0.00	0.00
55.77	0.00	0.00
55.89	0.00	0.00
56.00	0.00	0.00
56.11	0.00	0.00
56.23	0.00	0.00
56.34	0.00	0.00
56.46	0.00	0.00
56.57	0.00	0.00
56.69	0.00	0.00
56.80	0.00	0.00
56.91	0.00	0.00
57.03	0.00	0.00
57.14	0.00	0.00
57.26	0.00	0.00
57.37	0.00	0.00
57.49	0.00	0.00
57.60	0.00	0.00
57.71	0.00	0.00
57.83	0.00	0.00
57.94	0.00	0.00
58.06	0.00	0.00
58.17	0.00	0.00
58.29	0.00	0.00
58.40	0.00	0.00
58.51	0.00	0.00
