Depth dose profile, Water equivalent length	Automatic Fit	Selected range Fit
Window's range [ch]:	[122, 258]	[0, 511]
Window's range [mm]:	[14.64, 30.96]	[0.0, 61.32]
Peak position:	29.52 mm	29.52 mm
Peak-plateau ratio:	1.29  	2.56  
Clinical range (R90):	16.17 mm	16.10 mm
Peak width (@50%):	29.80 mm	23.35 mm
Entrance dose:	64.99 %	37.33 %

Water equivalent length	Automatic Fit	Selected range Fit
56.16	0.00	-0.80
56.28	0.00	-0.83
56.40	0.00	-0.87
56.52	0.00	-0.92
56.64	0.00	-0.96
56.76	0.00	-1.02
56.88	0.00	-1.07
57.00	0.00	-1.13
57.12	0.00	-1.19
57.24	0.00	-1.25
57.36	0.00	-1.31
57.48	0.00	-1.38
57.60	0.00	-1.44
57.72	0.00	-1.50
57.84	0.00	-1.57
57.96	0.00	-1.63
58.08	0.00	-1.68
58.20	0.00	-1.74
58.32	0.00	-1.79
58.44	0.00	-1.83
58.56	0.00	-1.87
58.68	0.00	-1.91
58.80	0.00	-1.93
58.92	0.00	-1.96
59.04	0.00	-1.98
59.16	0.00	-1.99
59.28	0.00	-1.99
59.40	0.00	-1.99
59.52	0.00	-1.98
59.64	0.00	-1.97
59.76	0.00	-1.95
59.88	0.00	-1.92
60.00	0.00	-1.88
60.12	0.00	-1.85
60.24	0.00	-1.80
60.36	0.00	-1.75
60.48	0.00	-1.69
60.60	0.00	-1.63
60.72	0.00	-1.56
60.84	0.00	-1.49
60.96	0.00	-1.42
61.08	0.00	-1.34
61.20	0.00	-1.26
61.32	0.00	-1.18
61.44	0.00	-1.10
